Name,Count,Yards,Declined,Offsetting,Home_Count,Away_Count,Off_Count,Def_Count,ST_Count,Week,Year
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,9,2010
Illegal Shift,2,10,2,0,1,1,2,0,0,9,2010
Illegal Substitution,0,0,0,0,0,0,0,0,0,9,2010
Illegal Touch Kick,1,5,0,0,0,1,0,0,1,9,2010
Illegal Touch Pass,0,0,0,0,0,0,0,0,0,9,2010
Illegal Use of Hands,5,25,2,0,3,2,0,5,0,9,2010
Illegal Wedge,0,0,0,0,0,0,0,0,0,9,2010
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,9,2010
Ineligible Downfield Kick,3,15,0,0,2,1,0,0,3,9,2010
Ineligible Downfield Pass,0,0,0,0,0,0,0,0,0,9,2010
Intentional Grounding,1,10,0,0,1,0,1,0,0,9,2010
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,9,2010
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,9,2010
Kick Catch Interference,0,0,0,0,0,0,0,0,0,9,2010
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,9,2010
Leaping,0,0,0,0,0,0,0,0,0,9,2010
Leverage,0,0,0,0,0,0,0,0,0,9,2010
Low Block,1,15,0,0,0,1,0,0,1,9,2010
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,9,2010
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,9,2010
Neutral Zone Infraction,5,25,0,0,4,1,0,4,1,9,2010
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,9,2010
Offensive Holding,26,251,8,1,14,12,18,0,8,9,2010
Offensive Offside,0,0,0,0,0,0,0,0,0,9,2010
Offensive Pass Interference,6,60,0,0,4,2,6,0,0,9,2010
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,9,2010
Offside on Free Kick,0,0,0,0,0,0,0,0,0,9,2010
Personal Foul,3,45,1,0,1,2,0,3,0,9,2010
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,9,2010
Player Out of Bounds on Punt,1,5,0,0,0,1,0,0,1,9,2010
Roughing the Kicker,1,2,0,0,0,1,0,0,1,9,2010
Roughing the Passer,4,46,0,0,1,3,0,4,0,9,2010
Running Into the Kicker,1,5,0,0,1,0,0,0,1,9,2010
Short Free Kick,0,0,0,0,0,0,0,0,0,9,2010
Taunting,0,0,0,0,0,0,0,0,0,9,2010
Tripping,1,10,0,0,0,1,0,1,0,9,2010
Unnecessary Roughness,8,113,0,2,5,3,0,8,0,9,2010
Unsportsmanlike Conduct,3,45,1,0,2,1,1,1,1,9,2010
Chop Block,3,45,0,1,2,1,2,0,1,10,2010
Clipping,0,0,0,0,0,0,0,0,0,10,2010
Defensive 12 On-field,0,0,0,0,0,0,0,0,0,10,2010
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,10,2010
Defensive Holding,6,29,2,0,4,2,0,6,0,10,2010
Defensive Offside,8,39,4,0,4,4,0,7,1,10,2010
Defensive Pass Interference,13,319,2,0,6,7,0,13,0,10,2010
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,10,2010
Delay of Game,14,70,0,0,7,7,8,1,5,10,2010
Delay of Kickoff,0,0,0,0,0,0,0,0,0,10,2010
Disqualification,0,0,0,0,0,0,0,0,0,10,2010
Encroachment,4,20,0,0,3,1,0,4,0,10,2010
Face Mask,0,0,0,0,0,0,0,0,0,10,2010
Face Mask (15 Yards),9,132,0,0,5,4,1,6,2,10,2010
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,10,2010
Fair Catch Interference,0,0,0,0,0,0,0,0,0,10,2010
False Start,44,213,0,0,19,25,40,0,4,10,2010
Horse Collar Tackle,1,15,0,0,0,1,0,1,0,10,2010
Illegal Bat,0,0,0,0,0,0,0,0,0,10,2010
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,10,2010
Illegal Block Above the Waist,4,40,2,0,1,3,2,0,2,10,2010
Illegal Contact,7,31,0,1,3,4,0,7,0,10,2010
Illegal Crackback,0,0,0,0,0,0,0,0,0,10,2010
Illegal Cut,0,0,0,0,0,0,0,0,0,10,2010
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,10,2010
Illegal Formation,9,45,3,0,6,3,6,0,3,10,2010
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,10,2010
Illegal Forward Pass,1,5,0,0,1,0,1,0,0,10,2010
Illegal Kick,0,0,0,0,0,0,0,0,0,10,2010
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,10,2010
Illegal Motion,2,10,0,0,0,2,1,0,1,10,2010
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,10,2010
Illegal Peelback,0,0,0,0,0,0,0,0,0,10,2010
Illegal Procedure,0,0,0,0,0,0,0,0,0,10,2010
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,10,2010
Illegal Shift,3,15,2,0,3,0,3,0,0,10,2010
Illegal Substitution,1,5,0,0,0,1,0,0,1,10,2010
Illegal Touch Kick,1,0,0,0,1,0,0,0,1,10,2010
Illegal Touch Pass,0,0,1,0,0,0,0,0,0,10,2010
Illegal Use of Hands,1,10,0,0,0,1,1,0,0,10,2010
Illegal Wedge,0,0,0,0,0,0,0,0,0,10,2010
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,10,2010
Ineligible Downfield Kick,1,5,0,0,1,0,0,0,1,10,2010
Ineligible Downfield Pass,0,0,0,0,0,0,0,0,0,10,2010
Intentional Grounding,3,30,0,0,1,2,3,0,0,10,2010
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,10,2010
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,10,2010
Kick Catch Interference,0,0,0,0,0,0,0,0,0,10,2010
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,10,2010
Leaping,0,0,0,0,0,0,0,0,0,10,2010
Leverage,0,0,0,0,0,0,0,0,0,10,2010
Low Block,0,0,0,0,0,0,0,0,0,10,2010
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,10,2010
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,10,2010
Neutral Zone Infraction,1,5,0,0,0,1,0,1,0,10,2010
Offensive 12 On-field,2,10,0,0,1,1,2,0,0,10,2010
Offensive Holding,34,328,2,0,16,18,28,0,6,10,2010
Offensive Offside,0,0,0,0,0,0,0,0,0,10,2010
Offensive Pass Interference,3,29,1,0,0,3,3,0,0,10,2010
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,10,2010
Offside on Free Kick,1,5,0,0,0,1,0,0,1,10,2010
Personal Foul,3,39,0,0,0,3,1,2,0,10,2010
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,10,2010
Player Out of Bounds on Punt,2,10,0,0,2,0,0,0,2,10,2010
Roughing the Kicker,0,0,0,0,0,0,0,0,0,10,2010
Roughing the Passer,4,50,0,0,3,1,0,4,0,10,2010
Running Into the Kicker,0,0,0,0,0,0,0,0,0,10,2010
Short Free Kick,0,0,0,0,0,0,0,0,0,10,2010
Taunting,0,0,0,0,0,0,0,0,0,10,2010
Tripping,0,0,0,0,0,0,0,0,0,10,2010
Unnecessary Roughness,4,54,0,0,4,0,0,4,0,10,2010
Unsportsmanlike Conduct,2,30,0,0,1,1,1,0,1,10,2010
Chop Block,1,15,0,0,1,0,1,0,0,11,2010
Clipping,1,11,0,0,1,0,1,0,0,11,2010
Defensive 12 On-field,1,5,0,0,1,0,0,1,0,11,2010
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,11,2010
Defensive Holding,5,23,2,0,4,1,0,5,0,11,2010
Defensive Offside,10,49,2,0,3,7,0,10,0,11,2010
Defensive Pass Interference,7,87,2,0,3,4,0,7,0,11,2010
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,11,2010
Delay of Game,7,29,1,0,5,2,5,0,2,11,2010
Delay of Kickoff,0,0,0,0,0,0,0,0,0,11,2010
Disqualification,0,0,0,1,0,0,0,0,0,11,2010
Encroachment,11,50,0,0,6,5,0,10,1,11,2010
Face Mask,0,0,0,0,0,0,0,0,0,11,2010
Face Mask (15 Yards),1,15,0,0,0,1,0,1,0,11,2010
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,11,2010
Fair Catch Interference,0,0,0,0,0,0,0,0,0,11,2010
False Start,32,153,0,0,14,18,32,0,0,11,2010
Horse Collar Tackle,2,21,0,0,0,2,0,2,0,11,2010
Illegal Bat,0,0,0,0,0,0,0,0,0,11,2010
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,11,2010
Illegal Block Above the Waist,11,105,2,0,3,8,3,0,8,11,2010
Illegal Contact,5,25,0,0,3,2,0,5,0,11,2010
Illegal Crackback,0,0,0,0,0,0,0,0,0,11,2010
Illegal Cut,0,0,0,0,0,0,0,0,0,11,2010
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,11,2010
Illegal Formation,1,5,2,0,1,0,1,0,0,11,2010
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,11,2010
Illegal Forward Pass,0,0,0,0,0,0,0,0,0,11,2010
Illegal Kick,0,0,0,0,0,0,0,0,0,11,2010
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,11,2010
Illegal Motion,1,5,0,0,1,0,1,0,0,11,2010
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,11,2010
Illegal Peelback,0,0,0,0,0,0,0,0,0,11,2010
Illegal Procedure,0,0,0,0,0,0,0,0,0,11,2010
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,11,2010
Illegal Shift,1,5,3,0,1,0,1,0,0,11,2010
Illegal Substitution,0,0,0,0,0,0,0,0,0,11,2010
Illegal Touch Kick,1,5,0,0,1,0,0,0,1,11,2010
Illegal Touch Pass,1,5,0,0,0,1,1,0,0,11,2010
Illegal Use of Hands,2,10,2,1,2,0,0,2,0,11,2010
Illegal Wedge,3,27,0,0,2,1,0,0,3,11,2010
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,11,2010
Ineligible Downfield Kick,0,0,0,0,0,0,0,0,0,11,2010
Ineligible Downfield Pass,0,0,0,0,0,0,0,0,0,11,2010
Intentional Grounding,1,10,0,0,0,1,1,0,0,11,2010
Interference with Opportunity to Catch,1,15,0,0,0,1,0,0,1,11,2010
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,11,2010
Kick Catch Interference,0,0,0,0,0,0,0,0,0,11,2010
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,11,2010
Leaping,0,0,0,0,0,0,0,0,0,11,2010
Leverage,0,0,0,0,0,0,0,0,0,11,2010
Low Block,1,15,0,0,1,0,1,0,0,11,2010
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,11,2010
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,11,2010
Neutral Zone Infraction,2,10,0,0,0,2,0,1,1,11,2010
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,11,2010
Offensive Holding,42,410,3,1,24,18,34,0,8,11,2010
Offensive Offside,0,0,0,0,0,0,0,0,0,11,2010
Offensive Pass Interference,7,65,0,1,3,4,7,0,0,11,2010
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,11,2010
Offside on Free Kick,0,0,0,0,0,0,0,0,0,11,2010
Personal Foul,4,51,0,1,2,2,2,2,0,11,2010
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,11,2010
Player Out of Bounds on Punt,0,0,0,0,0,0,0,0,0,11,2010
Roughing the Kicker,0,0,0,0,0,0,0,0,0,11,2010
Roughing the Passer,8,109,0,0,4,4,0,8,0,11,2010
Running Into the Kicker,0,0,0,0,0,0,0,0,0,11,2010
Short Free Kick,0,0,0,0,0,0,0,0,0,11,2010
Taunting,1,15,0,0,1,0,1,0,0,11,2010
Tripping,1,15,0,1,1,0,1,0,0,11,2010
Unnecessary Roughness,13,168,0,0,7,6,2,7,4,11,2010
Unsportsmanlike Conduct,3,45,0,0,1,2,1,0,2,11,2010
Chop Block,1,7,0,0,0,1,1,0,0,12,2010
Clipping,1,15,0,0,0,1,1,0,0,12,2010
Defensive 12 On-field,0,0,0,0,0,0,0,0,0,12,2010
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,12,2010
Defensive Holding,6,30,1,0,4,2,0,6,0,12,2010
Defensive Offside,9,45,4,0,5,4,0,7,2,12,2010
Defensive Pass Interference,7,97,0,1,3,4,0,7,0,12,2010
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,12,2010
Delay of Game,4,20,0,0,2,2,3,0,1,12,2010
Delay of Kickoff,0,0,0,0,0,0,0,0,0,12,2010
Disqualification,0,0,0,0,0,0,0,0,0,12,2010
Encroachment,2,10,0,0,2,0,0,2,0,12,2010
Face Mask,0,0,0,0,0,0,0,0,0,12,2010
Face Mask (15 Yards),6,85,1,0,2,4,1,2,3,12,2010
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,12,2010
Fair Catch Interference,0,0,0,0,0,0,0,0,0,12,2010
False Start,39,194,0,0,15,24,36,0,3,12,2010
Horse Collar Tackle,2,24,0,0,0,2,0,2,0,12,2010
Illegal Bat,1,10,0,0,0,1,0,0,1,12,2010
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,12,2010
Illegal Block Above the Waist,13,112,2,1,9,4,3,1,9,12,2010
Illegal Contact,3,15,1,0,3,0,0,3,0,12,2010
Illegal Crackback,0,0,0,0,0,0,0,0,0,12,2010
Illegal Cut,0,0,0,0,0,0,0,0,0,12,2010
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,12,2010
Illegal Formation,1,5,0,0,0,1,1,0,0,12,2010
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,12,2010
Illegal Forward Pass,1,0,0,0,0,1,1,0,0,12,2010
Illegal Kick,0,0,1,0,0,0,0,0,0,12,2010
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,12,2010
Illegal Motion,0,0,0,1,0,0,0,0,0,12,2010
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,12,2010
Illegal Peelback,0,0,0,0,0,0,0,0,0,12,2010
Illegal Procedure,0,0,0,0,0,0,0,0,0,12,2010
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,12,2010
Illegal Shift,2,10,0,1,1,1,1,0,1,12,2010
Illegal Substitution,0,0,0,0,0,0,0,0,0,12,2010
Illegal Touch Kick,1,5,1,0,0,1,0,0,1,12,2010
Illegal Touch Pass,1,5,0,0,1,0,1,0,0,12,2010
Illegal Use of Hands,2,10,1,2,1,1,0,2,0,12,2010
Illegal Wedge,0,0,0,0,0,0,0,0,0,12,2010
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,12,2010
Ineligible Downfield Kick,0,0,0,0,0,0,0,0,0,12,2010
Ineligible Downfield Pass,0,0,1,0,0,0,0,0,0,12,2010
Intentional Grounding,3,35,0,0,2,1,3,0,0,12,2010
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,12,2010
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,12,2010
Kick Catch Interference,0,0,0,0,0,0,0,0,0,12,2010
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,12,2010
Leaping,0,0,0,0,0,0,0,0,0,12,2010
Leverage,0,0,0,0,0,0,0,0,0,12,2010
Low Block,0,0,0,0,0,0,0,0,0,12,2010
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,12,2010
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,12,2010
Neutral Zone Infraction,3,15,0,0,2,1,0,3,0,12,2010
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,12,2010
Offensive Holding,30,290,3,1,11,19,20,0,10,12,2010
Offensive Offside,0,0,0,0,0,0,0,0,0,12,2010
Offensive Pass Interference,4,40,1,0,1,3,4,0,0,12,2010
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,12,2010
Offside on Free Kick,0,0,1,0,0,0,0,0,0,12,2010
Personal Foul,1,15,1,0,0,1,1,0,0,12,2010
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,12,2010
Player Out of Bounds on Punt,1,5,0,0,1,0,0,0,1,12,2010
Roughing the Kicker,0,0,0,0,0,0,0,0,0,12,2010
Roughing the Passer,7,103,0,0,3,4,0,7,0,12,2010
Running Into the Kicker,1,5,0,0,0,1,0,0,1,12,2010
Short Free Kick,0,0,0,0,0,0,0,0,0,12,2010
Taunting,0,0,0,0,0,0,0,0,0,12,2010
Tripping,1,10,0,0,0,1,0,1,0,12,2010
Unnecessary Roughness,11,136,0,2,7,4,2,5,4,12,2010
Unsportsmanlike Conduct,4,60,0,0,4,0,1,1,2,12,2010
Chop Block,0,0,0,0,0,0,0,0,0,13,2010
Clipping,0,0,0,0,0,0,0,0,0,13,2010
Defensive 12 On-field,5,24,0,0,2,3,0,3,2,13,2010
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,13,2010
Defensive Holding,8,36,4,0,3,5,0,8,0,13,2010
Defensive Offside,11,55,5,0,8,3,0,11,0,13,2010
Defensive Pass Interference,8,123,0,1,2,6,0,8,0,13,2010
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,13,2010
Delay of Game,6,30,0,0,1,5,4,1,1,13,2010
Delay of Kickoff,0,0,0,0,0,0,0,0,0,13,2010
Disqualification,0,0,0,0,0,0,0,0,0,13,2010
Encroachment,5,25,1,0,0,5,0,4,1,13,2010
Face Mask,0,0,0,0,0,0,0,0,0,13,2010
Face Mask (15 Yards),3,45,0,0,2,1,1,1,1,13,2010
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,13,2010
Fair Catch Interference,0,0,0,0,0,0,0,0,0,13,2010
False Start,40,199,0,0,21,19,37,0,3,13,2010
Horse Collar Tackle,1,13,0,0,0,1,0,1,0,13,2010
Illegal Bat,0,0,0,0,0,0,0,0,0,13,2010
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,13,2010
Illegal Block Above the Waist,3,27,0,0,0,3,0,0,3,13,2010
Illegal Contact,2,10,0,0,1,1,0,2,0,13,2010
Illegal Crackback,0,0,0,0,0,0,0,0,0,13,2010
Illegal Cut,0,0,0,0,0,0,0,0,0,13,2010
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,13,2010
Illegal Formation,6,29,4,0,4,2,5,0,1,13,2010
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,13,2010
Illegal Forward Pass,0,0,0,0,0,0,0,0,0,13,2010
Illegal Kick,0,0,0,0,0,0,0,0,0,13,2010
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,13,2010
Illegal Motion,1,5,0,1,0,1,1,0,0,13,2010
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,13,2010
Illegal Peelback,0,0,0,0,0,0,0,0,0,13,2010
Illegal Procedure,0,0,0,0,0,0,0,0,0,13,2010
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,13,2010
Illegal Shift,1,5,0,0,1,0,1,0,0,13,2010
Illegal Substitution,2,10,1,0,1,1,1,1,0,13,2010
Illegal Touch Kick,0,0,0,0,0,0,0,0,0,13,2010
Illegal Touch Pass,0,0,0,0,0,0,0,0,0,13,2010
Illegal Use of Hands,1,10,0,0,0,1,1,0,0,13,2010
Illegal Wedge,0,0,0,0,0,0,0,0,0,13,2010
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,13,2010
Ineligible Downfield Kick,1,5,0,0,1,0,0,0,1,13,2010
Ineligible Downfield Pass,1,5,0,0,0,1,1,0,0,13,2010
Intentional Grounding,4,42,0,0,4,0,4,0,0,13,2010
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,13,2010
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,13,2010
Kick Catch Interference,0,0,0,0,0,0,0,0,0,13,2010
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,13,2010
Leaping,0,0,0,0,0,0,0,0,0,13,2010
Leverage,1,3,0,0,1,0,0,0,1,13,2010
Low Block,0,0,0,0,0,0,0,0,0,13,2010
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,13,2010
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,13,2010
Neutral Zone Infraction,7,34,0,0,3,4,0,7,0,13,2010
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,13,2010
Offensive Holding,37,352,8,1,17,20,23,0,14,13,2010
Offensive Offside,0,0,0,0,0,0,0,0,0,13,2010
Offensive Pass Interference,5,50,1,0,5,0,5,0,0,13,2010
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,13,2010
Offside on Free Kick,2,10,0,0,1,1,0,0,2,13,2010
Personal Foul,5,70,1,0,3,2,2,3,0,13,2010
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,13,2010
Player Out of Bounds on Punt,1,5,0,0,0,1,0,0,1,13,2010
Roughing the Kicker,0,0,0,0,0,0,0,0,0,13,2010
Roughing the Passer,4,55,0,1,2,2,0,4,0,13,2010
Running Into the Kicker,1,5,0,0,1,0,0,0,1,13,2010
Short Free Kick,0,0,0,0,0,0,0,0,0,13,2010
Taunting,0,0,0,0,0,0,0,0,0,13,2010
Tripping,1,10,0,0,1,0,0,1,0,13,2010
Unnecessary Roughness,10,136,0,0,3,7,3,5,2,13,2010
Unsportsmanlike Conduct,1,12,0,0,1,0,1,0,0,13,2010
Chop Block,1,15,0,0,1,0,1,0,0,14,2010
Clipping,0,0,0,0,0,0,0,0,0,14,2010
Defensive 12 On-field,0,0,0,0,0,0,0,0,0,14,2010
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,14,2010
Defensive Holding,4,18,2,0,2,2,0,4,0,14,2010
Defensive Offside,12,55,4,0,8,4,0,12,0,14,2010
Defensive Pass Interference,10,110,0,0,9,1,0,10,0,14,2010
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,14,2010
Delay of Game,6,31,0,0,5,1,5,0,1,14,2010
Delay of Kickoff,0,0,0,0,0,0,0,0,0,14,2010
Disqualification,0,0,0,0,0,0,0,0,0,14,2010
Encroachment,5,25,0,0,4,1,0,5,0,14,2010
Face Mask,0,0,0,0,0,0,0,0,0,14,2010
Face Mask (15 Yards),3,45,0,0,2,1,1,1,1,14,2010
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,14,2010
Fair Catch Interference,0,0,0,1,0,0,0,0,0,14,2010
False Start,31,151,1,0,17,14,27,0,4,14,2010
Horse Collar Tackle,0,0,0,0,0,0,0,0,0,14,2010
Illegal Bat,1,10,0,0,0,1,0,0,1,14,2010
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,14,2010
Illegal Block Above the Waist,8,73,0,0,6,2,1,1,6,14,2010
Illegal Contact,7,33,0,0,3,4,0,7,0,14,2010
Illegal Crackback,0,0,0,0,0,0,0,0,0,14,2010
Illegal Cut,0,0,0,0,0,0,0,0,0,14,2010
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,14,2010
Illegal Formation,5,25,2,0,0,5,5,0,0,14,2010
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,14,2010
Illegal Forward Pass,0,0,0,0,0,0,0,0,0,14,2010
Illegal Kick,0,0,0,0,0,0,0,0,0,14,2010
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,14,2010
Illegal Motion,3,15,0,0,1,2,3,0,0,14,2010
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,14,2010
Illegal Peelback,0,0,0,0,0,0,0,0,0,14,2010
Illegal Procedure,0,0,0,0,0,0,0,0,0,14,2010
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,14,2010
Illegal Shift,0,0,0,0,0,0,0,0,0,14,2010
Illegal Substitution,0,0,0,0,0,0,0,0,0,14,2010
Illegal Touch Kick,0,0,0,0,0,0,0,0,0,14,2010
Illegal Touch Pass,1,5,0,0,1,0,1,0,0,14,2010
Illegal Use of Hands,1,10,1,0,1,0,1,0,0,14,2010
Illegal Wedge,0,0,0,0,0,0,0,0,0,14,2010
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,14,2010
Ineligible Downfield Kick,0,0,0,0,0,0,0,0,0,14,2010
Ineligible Downfield Pass,0,0,1,0,0,0,0,0,0,14,2010
Intentional Grounding,2,26,0,0,1,1,2,0,0,14,2010
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,14,2010
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,14,2010
Kick Catch Interference,0,0,0,0,0,0,0,0,0,14,2010
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,14,2010
Leaping,0,0,0,0,0,0,0,0,0,14,2010
Leverage,0,0,0,0,0,0,0,0,0,14,2010
Low Block,1,15,0,0,1,0,0,0,1,14,2010
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,14,2010
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,14,2010
Neutral Zone Infraction,6,27,0,0,3,3,0,5,1,14,2010
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,14,2010
Offensive Holding,37,344,6,0,22,15,23,0,14,14,2010
Offensive Offside,1,10,0,0,1,0,1,0,0,14,2010
Offensive Pass Interference,1,10,1,0,0,1,1,0,0,14,2010
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,14,2010
Offside on Free Kick,2,10,0,0,1,1,0,0,2,14,2010
Personal Foul,4,60,0,0,2,2,0,3,1,14,2010
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,14,2010
Player Out of Bounds on Punt,0,0,0,0,0,0,0,0,0,14,2010
Roughing the Kicker,0,0,0,0,0,0,0,0,0,14,2010
Roughing the Passer,3,45,0,0,1,2,0,3,0,14,2010
Running Into the Kicker,0,0,0,0,0,0,0,0,0,14,2010
Short Free Kick,0,0,0,0,0,0,0,0,0,14,2010
Taunting,0,0,0,0,0,0,0,0,0,14,2010
Tripping,0,0,0,0,0,0,0,0,0,14,2010
Unnecessary Roughness,4,56,1,3,1,3,2,1,1,14,2010
Unsportsmanlike Conduct,6,88,0,0,2,4,2,1,3,14,2010
Chop Block,1,15,0,0,0,1,1,0,0,15,2010
Clipping,0,0,0,0,0,0,0,0,0,15,2010
Defensive 12 On-field,1,5,0,0,1,0,0,0,1,15,2010
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,15,2010
Defensive Holding,4,16,1,0,3,1,0,4,0,15,2010
Defensive Offside,16,80,5,2,10,6,0,14,2,15,2010
Defensive Pass Interference,7,119,0,0,4,3,0,7,0,15,2010
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,15,2010
Delay of Game,6,30,0,0,6,0,4,0,2,15,2010
Delay of Kickoff,0,0,0,0,0,0,0,0,0,15,2010
Disqualification,1,15,0,0,0,1,0,1,0,15,2010
Encroachment,3,15,0,0,1,2,0,3,0,15,2010
Face Mask,0,0,0,0,0,0,0,0,0,15,2010
Face Mask (15 Yards),10,123,0,0,5,5,2,6,2,15,2010
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,15,2010
Fair Catch Interference,0,0,0,0,0,0,0,0,0,15,2010
False Start,42,211,0,0,31,11,35,0,7,15,2010
Horse Collar Tackle,0,0,0,0,0,0,0,0,0,15,2010
Illegal Bat,0,0,0,0,0,0,0,0,0,15,2010
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,15,2010
Illegal Block Above the Waist,9,86,1,0,6,3,1,0,8,15,2010
Illegal Contact,2,10,2,0,2,0,0,2,0,15,2010
Illegal Crackback,0,0,0,0,0,0,0,0,0,15,2010
Illegal Cut,0,0,0,0,0,0,0,0,0,15,2010
